"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"	"variable1"
"97"	1	"I_1"	"I"	2011	"ammonifd_F"	0.003	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"100"	1	"N_1"	"N"	2011	"ammonifd_F"	-8e-04	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"103"	10	"I_10"	"I"	2011	"ammonifd_F"	-0.002	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"106"	10	"N_10"	"N"	2011	"ammonifd_F"	0.0019	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"109"	11	"I_11"	"I"	2011	"ammonifd_F"	-0.0022	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"112"	11	"N_11"	"N"	2011	"ammonifd_F"	0.0119	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"115"	13	"I_13"	"I"	2011	"ammonifd_F"	2e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"118"	13	"N_13"	"N"	2011	"ammonifd_F"	0.0021	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"121"	14	"I_14"	"I"	2011	"ammonifd_F"	-7e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"124"	14	"N_14"	"N"	2011	"ammonifd_F"	0.0019	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"127"	16	"I_16"	"I"	2011	"ammonifd_F"	-9e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"130"	16	"N_16"	"N"	2011	"ammonifd_F"	-8e-04	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"133"	17	"I_17"	"I"	2011	"ammonifd_F"	-0.0022	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"136"	17	"N_17"	"N"	2011	"ammonifd_F"	8e-04	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"139"	18	"I_18"	"I"	2011	"ammonifd_F"	1e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"142"	18	"N_18"	"N"	2011	"ammonifd_F"	0.0019	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"145"	2	"I_2"	"I"	2011	"ammonifd_F"	0	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"148"	2	"N_2"	"N"	2011	"ammonifd_F"	0	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"151"	3	"I_3"	"I"	2011	"ammonifd_F"	-2e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"154"	3	"N_3"	"N"	2011	"ammonifd_F"	6e-04	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"157"	4	"I_4"	"I"	2011	"ammonifd_F"	-0.001	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"160"	4	"N_4"	"N"	2011	"ammonifd_F"	-0.0017	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"163"	5	"I_5"	"I"	2011	"ammonifd_F"	-1e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"166"	5	"N_5"	"N"	2011	"ammonifd_F"	0.0014	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"169"	6	"I_6"	"I"	2011	"ammonifd_F"	1e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"172"	6	"N_6"	"N"	2011	"ammonifd_F"	1e-04	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"175"	7	"I_7"	"I"	2011	"ammonifd_F"	-0.0011	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"178"	7	"N_7"	"N"	2011	"ammonifd_F"	-0.001	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"181"	8	"I_8"	"I"	2011	"ammonifd_F"	-0.0011	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"184"	8	"N_8"	"N"	2011	"ammonifd_F"	0.0058	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"187"	9	"I_9"	"I"	2011	"ammonifd_F"	-9e-04	NA	"measCat"	"plothalf"	"ammonifd_F_I"
"190"	9	"N_9"	"N"	2011	"ammonifd_F"	0	NA	"measCat"	"plothalf"	"ammonifd_F_N"
"385"	1	"I_1"	"I"	2011	"minzd_F"	0.0067	NA	"measCat"	"plothalf"	"minzd_F_I"
"388"	1	"N_1"	"N"	2011	"minzd_F"	-0.0018	NA	"measCat"	"plothalf"	"minzd_F_N"
"391"	10	"I_10"	"I"	2011	"minzd_F"	0.0038	NA	"measCat"	"plothalf"	"minzd_F_I"
"394"	10	"N_10"	"N"	2011	"minzd_F"	0.0075	NA	"measCat"	"plothalf"	"minzd_F_N"
"397"	11	"I_11"	"I"	2011	"minzd_F"	0.0091	NA	"measCat"	"plothalf"	"minzd_F_I"
