"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"
"109"	1	"I_1"	"I"	2011	"ammonifd_F"	0.003	NA	"measCat"	"plothalf"
"112"	1	"N_1"	"N"	2011	"ammonifd_F"	-8e-04	NA	"measCat"	"plothalf"
"115"	2	"I_2"	"I"	2011	"ammonifd_F"	0	NA	"measCat"	"plothalf"
"118"	2	"N_2"	"N"	2011	"ammonifd_F"	0	NA	"measCat"	"plothalf"
"121"	3	"I_3"	"I"	2011	"ammonifd_F"	-2e-04	NA	"measCat"	"plothalf"
"124"	3	"N_3"	"N"	2011	"ammonifd_F"	6e-04	NA	"measCat"	"plothalf"
"127"	4	"I_4"	"I"	2011	"ammonifd_F"	-0.001	NA	"measCat"	"plothalf"
"130"	4	"N_4"	"N"	2011	"ammonifd_F"	-0.0017	NA	"measCat"	"plothalf"
"133"	5	"I_5"	"I"	2011	"ammonifd_F"	-1e-04	NA	"measCat"	"plothalf"
"136"	5	"N_5"	"N"	2011	"ammonifd_F"	0.0014	NA	"measCat"	"plothalf"
"139"	6	"I_6"	"I"	2011	"ammonifd_F"	1e-04	NA	"measCat"	"plothalf"
"142"	6	"N_6"	"N"	2011	"ammonifd_F"	1e-04	NA	"measCat"	"plothalf"
"145"	7	"I_7"	"I"	2011	"ammonifd_F"	-0.0011	NA	"measCat"	"plothalf"
"148"	7	"N_7"	"N"	2011	"ammonifd_F"	-0.001	NA	"measCat"	"plothalf"
"151"	8	"I_8"	"I"	2011	"ammonifd_F"	-0.0011	NA	"measCat"	"plothalf"
"154"	8	"N_8"	"N"	2011	"ammonifd_F"	0.0058	NA	"measCat"	"plothalf"
"157"	9	"I_9"	"I"	2011	"ammonifd_F"	-9e-04	NA	"measCat"	"plothalf"
"160"	9	"N_9"	"N"	2011	"ammonifd_F"	0	NA	"measCat"	"plothalf"
"163"	10	"I_10"	"I"	2011	"ammonifd_F"	-0.002	NA	"measCat"	"plothalf"
"166"	10	"N_10"	"N"	2011	"ammonifd_F"	0.0019	NA	"measCat"	"plothalf"
"169"	11	"I_11"	"I"	2011	"ammonifd_F"	-0.0022	NA	"measCat"	"plothalf"
"172"	11	"N_11"	"N"	2011	"ammonifd_F"	0.0119	NA	"measCat"	"plothalf"
"175"	12	"I_12"	"I"	2011	"ammonifd_F"	-1e-04	NA	"measCat"	"plothalf"
"178"	12	"N_12"	"N"	2011	"ammonifd_F"	-0.0026	NA	"measCat"	"plothalf"
"181"	13	"I_13"	"I"	2011	"ammonifd_F"	2e-04	NA	"measCat"	"plothalf"
"184"	13	"N_13"	"N"	2011	"ammonifd_F"	0.0021	NA	"measCat"	"plothalf"
"187"	14	"I_14"	"I"	2011	"ammonifd_F"	-7e-04	NA	"measCat"	"plothalf"
"190"	14	"N_14"	"N"	2011	"ammonifd_F"	0.0019	NA	"measCat"	"plothalf"
"193"	15	"I_15"	"I"	2011	"ammonifd_F"	-0.0015	NA	"measCat"	"plothalf"
"196"	15	"N_15"	"N"	2011	"ammonifd_F"	-7e-04	NA	"measCat"	"plothalf"
"199"	16	"I_16"	"I"	2011	"ammonifd_F"	-9e-04	NA	"measCat"	"plothalf"
"202"	16	"N_16"	"N"	2011	"ammonifd_F"	-8e-04	NA	"measCat"	"plothalf"
"205"	17	"I_17"	"I"	2011	"ammonifd_F"	-0.0022	NA	"measCat"	"plothalf"
"208"	17	"N_17"	"N"	2011	"ammonifd_F"	8e-04	NA	"measCat"	"plothalf"
"211"	18	"I_18"	"I"	2011	"ammonifd_F"	1e-04	NA	"measCat"	"plothalf"
"214"	18	"N_18"	"N"	2011	"ammonifd_F"	0.0019	NA	"measCat"	"plothalf"
"433"	1	"I_1"	"I"	2011	"minzd_F"	0.0067	NA	"measCat"	"plothalf"
"436"	1	"N_1"	"N"	2011	"minzd_F"	-0.0018	NA	"measCat"	"plothalf"
"439"	2	"I_2"	"I"	2011	"minzd_F"	-8e-04	NA	"measCat"	"plothalf"
"442"	2	"N_2"	"N"	2011	"minzd_F"	2e-04	NA	"measCat"	"plothalf"
"445"	3	"I_3"	"I"	2011	"minzd_F"	3e-04	NA	"measCat"	"plothalf"
