"plotid"	"year"	"Diff_noi_T"	"Diff_noi_B"	"Diff_ammonifd_T"	"Diff_ammonifd_B"	"Diff_nitrifd_T"	"Diff_nitrifd_B"	"Diff_minzd_T"	"Diff_minzd_B"	"nhi_T"	"nhi_B"	"noi_T"	"noi_B"	"ammonifd_T"	"ammonifd_B"	"nitrifd_T"	"nitrifd_B"	"minzd_T"	"minzd_B"	"soilmoi_T"	"soilmoi_B"	"som_T"	"som_B"	"ph_T"	"ph_B"	"nat_g.m2"	"litter_g.m2"	"percpar"	"nTrees"	"BA_total"	"PercBA_AM"	"mv_g.m2"	"mv_g.m2_logt"	"plotYear"
"1"	1	2012	-0.3891	-0.1618	-0.183	-0.022	0.0307	0.1588	-0.1523	0.1368	2.1305	1.2023	2.905	1.5958	0.1604	-0.0347	-0.0266	-0.0484	0.1338	-0.0831	8.8983	6.8259	5.5814	1.4652	6.73	5.505	24.0533333333333	580.586666666667	55.91	1	0.1742339214	0	232.213333333333	5.44765648937807	"1_2012"
"2"	1	2013	1.5804	0.5739	0.0182	0.6631	-0.1032	NA	-0.085	0.452	2.0194	1.0083	0.1566	1e-04	0.1436	-0.0313	0.1902	NA	0.3338	0.1719	11.7796	8.6223	6.7716	2.7692	6.825	6.505	45.3333333333333	476.533333333333	79.63	1	0.1742339214	0	83.4666666666667	4.42444735055783	"1_2013"
"3"	10	2012	1.1672	1.1837	-0.0451	0.4606	0.2093	0.5576	0.1642	1.0182	4.67	3.0485	2.5637	0.7399	-0.0668	-0.0163	0.2173	0.2484	0.1505	0.2321	24.0816	15.3333	9.1398	4.3307	6.325	5.84	54.7733333333333	541.706666666667	26.01	2	0.0773406942	35.5112568927523	41.2266666666667	3.719085296171	"10_2012"
"4"	10	2013	-0.319000000000001	-1.2776	-0.0405	0.032	1.2597	-0.1403	1.2192	-0.1083	4.526	2.7923	6.0528	3.0856	-0.2247	-0.1761	0.2088	0.2988	-0.0159	0.1227	25.7937	14.2125	7.6471	3.1343	5.98	6.295	26.8266666666667	471.413333333333	13.96	2	0.0773406942	35.5112568927523	26.4	3.27336401015227	"10_2013"
"5"	11	2012	0.0829	-1.2082	-0.1458	0.3748	0.1401	0.1513	-0.00560000000000002	0.5261	2.8057	2.297	3.1577	1.6136	0.0826	0.0013	0.084	0.045	0.1665	0.0463	20.7171	13.7931	10.0503	5	6.17	6.02	84.0533333333333	562.24	14.82	2	0.1832094726	0	43.5733333333333	3.77444534244358	"11_2012"
"6"	11	2013	-0.3513	-0.9383	0.4783	0.3099	0.0708	-0.1313	0.5491	0.1786	6.1918	3.9632	2.4348	1.564	-0.2268	-0.2371	0.3536	0.125	0.1268	-0.1121	18.6216	9.7323	7.5326	4.9546	5.885	6.04	51.04	247.413333333333	63.8	2	0.1832094726	0	175.68	5.16866415832117	"11_2013"
"7"	13	2012	0.3441	0.1993	-0.0779	0.0031	-0.00650000000000001	-0.0255	-0.0844	-0.0225	2.3024	2.7087	2.1907	1.6646	-0.0095	-0.0286	0.0396	-0.0056	0.0301	-0.0341	16.5992	14.0562	5.3398	4.2056	5.8	5.78	32.2133333333333	1200.48	5.89	6	0.2008801872	100	8.48	2.13771044980381	"13_2012"
"8"	13	2013	1.5023	0.0545	0.1299	-0.0856	-0.0301	0.0318	0.0997	-0.0538	3.1204	5.6123	1.3902	1.466	-0.1798	0.0073	0.0379	-0.0144	-0.1418	-0.0071	19.7492	14.6814	5.0781	2.7417	6.04	5.87	31.1466666666667	789.706666666667	3.09	6	0.2008801872	100	0.32	-1.13943428318836	"13_2013"
"9"	14	2012	-0.1841	-0.0770999999999999	-0.181	NA	0.2497	0.0715	0.0687	0.038	1.6805	1.8156	2.4767	1.6501	0.0625	-0.0596	0.0525	0.0344	0.115	-0.0252	20.3125	14.5985	8.4967	4.2735	5.5	5.555	1.97333333333333	702.24	3.68	5	0.1770660738	100	23.52	3.15785112303043	"14_2012"
"10"	14	2013	2.7917	0.2206	0.4774	0.2178	-0.6365	-0.2312	-0.1591	-0.0133	3.6079	2.8762	2.136	0.8659	-0.2319	-0.1122	0.6348	0.2705	0.4029	0.1583	24.5149	18.7817	9.4044	4	5.54	5.715	15.9466666666667	591.573333333333	2.36	5	0.1770660738	100	46.2933333333333	3.83499796224393	"14_2013"
