"plotid"	"plothalfid1"	"inv"	"year"	"ammonifd_B"	"ammonifd_F"	"ammonifd_T"	"minzd_B"	"minzd_F"	"minzd_T"	"nhi_B"	"nhi_F"	"nhi_T"	"nitrifd_B"	"nitrifd_F"	"nitrifd_T"	"noi_B"	"noi_F"	"noi_T"	"soilmoi_B"	"soilmoi_F"	"soilmoi_T"	"som_B"	"som_F"	"som_T"	"toti_B"	"toti_F"	"toti_T"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"total"	"soilBasin"	"nTrees"	"BA_total"	"PercBA_ECM"
"1"	1	"I_1"	"I"	2011	NA	0.003	NA	NA	0.0067	NA	NA	1.2285	NA	NA	0.0037	NA	NA	0.882	NA	NA	11.4754	NA	NA	2.7778	NA	NA	2.1106	NA	2.45	1.73	117.55	27.89	12.1	4.18	1	1	0.1742339214	100
"2"	1	"I_1"	"I"	2012	-0.0567	NA	-0.0226	0.0537	NA	-0.0185	1.4691	NA	2.0639	0.1104	NA	0.0041	1.434	NA	2.5159	9.1912	NA	14.8289	1.6194	NA	5.3571	2.9031	NA	4.5798	43.54	8.46	111.26	42.63	NA	52	1	1	0.1742339214	100
"3"	1	"I_1"	"I"	2013	0.6318	NA	0.1618	0.6239	NA	0.2488	1.261	NA	0.7451	-0.0079	NA	0.087	0.574	NA	1.737	9.8712	NA	19.9027	1.4286	NA	7.1081	1.835	NA	2.4821	15.65	24.91	28.78	68.67	NA	40.56	1	1	0.1742339214	100
"4"	1	"N_1"	"N"	2011	NA	-8e-04	NA	NA	-0.0018	NA	NA	1.5433	NA	NA	-0.0011	NA	NA	2.3788	NA	NA	10.0287	NA	NA	4.1401	NA	NA	3.9221	NA	0	51.84	158.18	23.72	10.7	51.84	1	1	0.1742339214	100
"5"	1	"N_1"	"N"	2012	-0.0347	NA	0.1604	-0.0831	NA	0.1338	1.2023	NA	2.1305	-0.0484	NA	-0.0266	1.5958	NA	2.905	6.8259	NA	8.8983	1.4652	NA	5.5814	2.7981	NA	5.0355	0	4.51	108.86	55.91	NA	4.51	1	1	0.1742339214	100
"6"	1	"N_1"	"N"	2013	-0.0313	NA	0.1436	0.1719	NA	0.3338	1.0083	NA	2.0194	NA	NA	0.1902	1e-04	NA	0.1566	8.6223	NA	11.7796	2.7692	NA	6.7716	1.0083	NA	2.1759	0	8.5	89.35	79.63	NA	8.5	1	1	0.1742339214	100
"7"	2	"I_2"	"I"	2011	NA	0	NA	NA	-8e-04	NA	NA	0.8976	NA	NA	-8e-04	NA	NA	2.5598	NA	NA	13.3333	NA	NA	3.3654	NA	NA	3.4573	NA	2.01	0.63	171.26	2.5	11.8	2.64	1	4	0.5770914996	81.0895595108156
"8"	2	"I_2"	"I"	2012	0.0359	NA	0.1915	0.0212	NA	0.1541	1.2024	NA	2.3325	-0.0147	NA	-0.0374	2.5083	NA	4.6439	8.3333	NA	17.931	2.8708	NA	7.563	3.7107	NA	6.9764	3.07	0.79	166.34	4.09	NA	3.86	1	4	0.5770914996	81.0895595108156
"9"	2	"I_2"	"I"	2013	0.162	NA	0.4915	0.2475	NA	0.6223	1.6352	NA	2.1548	0.0855	NA	0.1308	0.6697	NA	0.6053	11.9632	NA	19.3443	2.7875	NA	8.0285	2.3048	NA	2.7601	9.64	4.72	63.8	6.48	NA	14.36	1	4	0.5770914996	81.0895595108156
"10"	2	"N_2"	"N"	2011	NA	0	NA	NA	2e-04	NA	NA	0.8709	NA	NA	2e-04	NA	NA	1.7182	NA	NA	9.6774	NA	NA	3.1746	NA	NA	2.589	NA	0	4.88	206.48	17.98	12	4.88	1	4	0.5770914996	81.0895595108156
