year	plothalfid	depth	plotid	site	rep	inv	soilwt_g	ph_1	ph_2	notes
2011	1	F	1	G2	A	I	15.177	4.71	4.73	
2011	2	F	1	G2	A	N	15.542	5.56	5.52	
2011	3	F	2	G2	B	I	15.112	5.87	5.92	
2011	4	F	2	G2	B	N	15.311	5.81	5.81	
2011	5	F	3	G2	C	I	15.422	5.96	5.96	
2011	6	F	3	G2	C	N	15.703	5.67	5.76	
2011	7	F	4	LL	A	I	15.307	6.08	6.1	
2011	8	F	4	LL	A	N	15.142	6.03	6.09	
2011	9	F	5	LL	B	I	15.694	5.78	5.78	
2011	10	F	5	LL	B	N	15.577	5.27	5.38	
2011	11	F	6	LL	C	I	15.193	5.6	5.69	
2011	12	F	6	LL	C	N	15.229	5.37	5.38	
2011	13	F	7	CEB	A	I	15.450	5.82	5.81	
2011	14	F	7	CEB	A	N	15.308	5.87	5.87	
2011	15	F	8	CEB	B	I	15.008	6.23	6.34	
2011	16	F	8	CEB	B	N	15.544	6.14	6.17	
2011	17	F	9	CEB	C	I	15.353	5.95	5.9	
2011	18	F	9	CEB	C	N	15.207	5.56	5.64	
2011	19	F	10	G48	B	I	15.263	5.94	5.99	
2011	20	F	10	G48	B	N	15.161	5.93	5.95	
2011	21	F	11	G48	C	I	15.383	6.24	6.29	
2011	22	F	11	G48	C	N	15.343	6.15	6.18	
2011	23	F	12	G48	D	I	15.541	5.67	5.69	
2011	24	F	12	G48	D	N	15.321	5.63	5.56	
2011	25	F	13	G13	A	I	15.277	5.94	5.99	
2011	26	F	13	G13	A	N	15.685	5.55	5.62	
2011	27	F	14	G13	B	I	15.513	5.22	5.22	
2011	28	F	14	G13	B	N	15.676	5.7	5.68	
2011	29	F	15	G13	C	I	15.481	6.05	6.05	
2011	30	F	15	G13	C	N	15.438	6.18	6.19	
2011	31	F	16	G13	D	I	15.081	5.66	5.65	
2011	32	F	16	G13	D	N	15.284	6.06	6.03	
2011	33	F	17	K7	A	I	15.574	5.94	5.81	
2011	34	F	17	K7	A	N	15.389	6.19	6.18	
2011	35	F	18	K7	B	I	15.384	5.96	5.95	
2011	36	F	18	K7	B	N	15.270	5.85	5.83	
2012	1	T	1	G2	A	I	15.781	6.2	6.21	
2012	2	T	1	G2	A	N	15.403	6.68	6.78	
2012	3	T	2	G2	B	I	15.602	6.38	6.41	
2012	4	T	2	G2	B	N	15.147	5.95	5.93	
2012	5	T	3	G2	C	I	15.424	6.29	6.31	
2012	6	T	3	G2	C	N	15.136	6.2	6.23	
2012	7	T	4	LL	A	I	15.410	6.29	6.31	
2012	8	T	4	LL	A	N	14.974	6.65	6.67	
2012	9	T	5	LL	B	I	14.961	6.28	6.26	
2012	10	T	5	LL	B	N	15.640	6.87	6.83	
2012	11	T	6	LL	C	I	15.329	6.36	6.39	
2012	12	T	6	LL	C	N	15.158	5.44	5.44	
2012	13	T	7	CEB	A	I	14.943	5.55	5.59	
2012	14	T	7	CEB	A	N	15.566	5.78	5.8	
2012	15	T	8	CEB	B	I	15.438	6.49	6.56	
2012	16	T	8	CEB	B	N	15.716	6.46	6.52	
2012	17	T	9	CEB	C	I	14.927	5.21	5.13	
2012	18	T	9	CEB	C	N	15.235	5.21	5.23	
2012	19	T	10	G48	B	I	15.627	6.18	6.16	
2012	20	T	10	G48	B	N	15.595	6.32	6.33	
2012	21	T	11	G48	C	I	15.368	6.32	6.23	
2012	22	T	11	G48	C	N	15.554	6.15	6.19	
2012	23	T	12	G48	D	I	15.314	6.22	6.24	
2012	24	T	12	G48	D	N	14.995	6.39	6.44	
2012	25	T	13	G13	A	I	15.414	5.88	5.9	
2012	26	T	13	G13	A	N	15.257	5.81	5.79	
2012	27	T	14	G13	B	I	15.034	5.57	5.57	
2012	28	T	14	G13	B	N	15.416	5.51	5.49	
2012	29	T	15	G13	C	I	15.143	5.51	5.55	
2012	30	T	15	G13	C	N	15.578	5.4	5.43	
2012	31	T	16	G13	D	I	15.474	5.63	5.62	
2012	32	T	16	G13	D	N	15.066	5.26	5.25	
2012	33	T	17	K7	A	I	15.490	5.33	5.29	
2012	34	T	17	K7	A	N	14.930	5.44	5.46	
2012	35	T	18	K7	B	I	15.141	5.42	5.41	
2012	36	T	18	K7	B	N	14.950	5.48	5.52	
2013	1	T	1	G2	A	I	15.144	5.84	5.73	
2013	2	T	1	G2	A	N	15.517	6.83	6.82	
2013	3	T	2	G2	B	I	15.107	6.99	7.04	
2013	4	T	2	G2	B	N	15.103	6.57	6.57	
2013	5	T	3	G2	C	I	15.208	7.19	7.23	
2013	6	T	3	G2	C	N	14.918	6.73	6.72	
2013	7	T	4	LL	A	I	15.335	6.73	6.7	
2013	8	T	4	LL	A	N	14.975	6.56	6.6	
2013	9	T	5	LL	B	I	15.322	6.75	6.8	
