plothalfid	plotid	site	rep	inv	soilbasin	description	coord_N	coord_W
1	1	G2	A	I	T	close to Gate 2 entrance	36.02542	78.95335
2	1	G2	A	N	T	close to Gate 2 entrance	36.02542	78.95335
3	2	G2	B	I	T	"near 15-501 from Gate 2, wet"	36.00378	78.95908
4	2	G2	B	N	T	"near 15-501 from Gate 2, wet"	36.00378	78.95908
5	3	G2	C	I	T	"near 15-501 from Gate 2, dry"	36.00425	78.95874
6	3	G2	C	N	T	"near 15-501 from Gate 2, dry"	36.00425	78.95874
7	4	LL	A	I	T	near Lemur Lane	35.99788	78.96026
8	4	LL	A	N	T	near Lemur Lane	35.99788	78.96026
9	5	LL	B	I	T	near home	35.99763	78.96011
10	5	LL	B	N	T	near home	35.99763	78.96011
11	6	LL	C	I	T	downslope from home	35.99736	78.96053
12	6	LL	C	N	T	downslope from home	35.99736	78.96053
13	7	CEB	A	I	T	"closest to Cornw., wet"	35.99191	78.97319
14	7	CEB	A	N	T	"closest to Cornw., wet"	35.99191	78.97319
15	8	CEB	B	I	T	near harvest	35.99153	78.9734
16	8	CEB	B	N	T	near harvest	35.99153	78.9734
17	9	CEB	C	I	T	"near fern patch, wet"	35.9915	78.9743
18	9	CEB	C	N	T	"near fern patch, wet"	35.9915	78.9743
19	10	G48	B	I	C	"close to Gate 48 entrance, wet"	36.01677	79.00483
20	10	G48	B	N	C	"close to Gate 48 entrance, wet"	36.01677	79.00483
21	11	G48	C	I	C	"near Gate 48 trail, dry"	36.01794	79.00536
22	11	G48	C	N	C	"near Gate 48 trail, dry"	36.01794	79.00536
23	12	G48	D	I	C	Gate 48 harvest downslope from trail	36.01769	79.00536
24	12	G48	D	N	C	Gate 48 harvest downslope from trail	36.01769	79.00536
25	13	G13	A	I	C	near 751 from Gate 13	36.02772	78.98888
26	13	G13	A	N	C	near 751 from Gate 13	36.02772	78.98888
27	14	G13	B	I	C	"near 751 from Gate 13, wet"	36.02687	78.98893
28	14	G13	B	N	C	"near 751 from Gate 13, wet"	36.02687	78.98893
29	15	G13	C	I	C	near harvest at Gate 13	36.02725	78.98837
30	15	G13	C	N	C	near harvest at Gate 13	36.02725	78.98837
31	16	G13	D	I	C	behind seed disp plots at Gate 13	36.02818	78.98705
32	16	G13	D	N	C	behind seed disp plots at Gate 13	36.02818	78.98705
33	17	K7	A	I	C	near 751 and Kerley	36.01621	78.98204
34	17	K7	A	N	C	near 751 and Kerley	36.01621	78.98204
35	18	K7	B	I	C	south of K751/A	36.01552	78.98171
36	18	K7	B	N	C	south of K751/A	36.01552	78.98171
