year	plothalfid	plotid	site	rep	inv	depth	nhi	noi	toti	ammonifd	nitrifd	minzd	soilmoi	som
2012	33	17	K7	A	I	T	11.6806	6.6533	18.3339	0.2476	-0.0515	0.1961	23.9583	17.8082
2013	34	17	K7	A	N	T	6.2877	2.7845	9.0722	-0.3308	0.898	0.5672	31.508	16.2437
2012	24	12	G48	D	N	T	6.247	5.1806	11.4276	-0.1913	-0.0218	-0.2131	13.308	14.4737
2012	36	18	K7	B	N	T	6.1885	5.1289	11.3174	0.1913	0.0723	0.2637	26.7658	11.6751
2013	19	10	G48	B	I	T	8.3859	5.7338	14.1196	-0.2652	1.4685	1.2033	34.4944	11.3779
2013	25	13	G13	A	I	T	3.598	2.8925	6.4906	-0.0499	0.0078	-0.0421	38.6811	11.2131
2012	21	11	G48	C	I	T	2.874	3.2406	6.1147	-0.0632	0.2241	0.1609	23.4818	11.1111
2012	14	7	CEB	A	N	T	3.2656	4.1354	7.401	-0.1102	0.7818	0.6716	37.3188	10.9827
2012	19	10	G48	B	I	T	3.3534	3.7309	7.0842	-0.1119	0.4266	0.3147	28.27	10.5882
2013	13	7	CEB	A	I	T	2.7869	1.3412	4.1281	-0.1757	0.129	-0.0467	45.6259	10.4022
2012	13	7	CEB	A	I	T	2.5031	3.2734	5.7765	-0.067	0.5038	0.4369	31.694	10.4
2013	23	12	G48	D	I	T	2.8633	1.1801	4.0434	-0.0651	0.199	0.1339	22.4324	10.1626
2012	24	12	G48	D	N	B	4.5662	3.5122	8.0785	0.1015	0.0793	0.1808	16.7785	10.0806
2012	22	11	G48	C	N	T	2.8057	3.1577	5.9634	0.0826	0.084	0.1665	20.7171	10.0503
2013	29	15	G13	C	I	T	2.6991	1.5105	4.2096	-0.1493	0.0401	-0.1093	29.0279	10
2013	8	4	LL	A	N	T	1.794	1.0818	2.8757	-0.0596	0.3091	0.2496	27.2845	9.84
2012	25	13	G13	A	I	T	2.9705	2.5348	5.5053	-0.0874	0.0331	-0.0543	22.1675	9.4937
2013	28	14	G13	B	N	T	3.6079	2.136	5.7439	-0.2319	0.6348	0.4029	24.5149	9.4044
2013	14	7	CEB	A	N	T	0.6724	2.8603	3.5328	-0.0177	1.3269	1.3092	45.9726	9.2827
2013	21	11	G48	C	I	T	3.1919	2.0835	5.2754	0.2515	0.4244	0.6759	24.6642	9.2382
2012	20	10	G48	B	N	T	4.67	2.5637	7.2337	-0.0668	0.2173	0.1505	24.0816	9.1398
2012	34	17	K7	A	N	T	3.2446	4.2473	7.4919	-0.1028	0.4511	0.3483	27.6699	8.7248
2012	10	5	LL	B	N	T	5.3734	3.1466	8.52	0.0627	0.1819	0.2445	12.7358	8.6486
