year	plothalfid	plotid	site	rep	inv	soilmoi_t	som_t	soilmoi_b	som_b
2012	1	1	G2	A	I	14.8289	5.3571	9.1912	1.6194
2012	2	1	G2	A	N	8.8983	5.5814	6.8259	1.4652
2012	3	2	G2	B	I	17.931	7.563	8.3333	2.8708
2012	4	2	G2	B	N	10.7407	5.8091	7.2816	1.5707
2012	5	3	G2	C	I	8.8542	4.5714	6.6038	2.3569
2012	6	3	G2	C	N	9.1743	6.0606	6.5789	3.5211
2012	7	4	LL	A	I	9.5436	7.3394	5.6338	2.4876
2012	8	4	LL	A	N	12.5581	6.383	7.6159	3.5842
2012	9	5	LL	B	I	12.234	6.0606	7.0866	2.1186
2012	10	5	LL	B	N	12.7358	8.6486	8.7786	3.3473
2012	11	6	LL	C	I	9.1324	5.0251	4.6693	2.0408
2012	12	6	LL	C	N	10.3448	5.1282	4.9618	2.008
2012	13	7	CEB	A	I	31.694	10.4	25.7692	7.2539
2012	14	7	CEB	A	N	37.3188	10.9827	26.2963	6.0302
2012	15	8	CEB	B	I	14.9502	3.9063	11.9469	2.5126
2012	16	8	CEB	B	N	18.8462	6.1611	15.4321	5.1095
2012	17	9	CEB	C	I	24.5536	8.284	12.8788	2.6087
2012	18	9	CEB	C	N	16.791	5.3812	11.284	3.0702
2012	19	10	G48	B	I	28.27	10.5882	18.5053	4.8035
2012	20	10	G48	B	N	24.0816	9.1398	15.3333	4.3307
2012	21	11	G48	C	I	23.4818	11.1111	13.6691	5
2012	22	11	G48	C	N	20.7171	10.0503	13.7931	5
2012	23	12	G48	D	I	14.0152	7.489	10.757	3.5714
2012	24	12	G48	D	N	13.308	14.4737	16.7785	10.0806
2012	25	13	G13	A	I	22.1675	9.4937	15.3846	5.303
2012	26	13	G13	A	N	16.5992	5.3398	14.0562	4.2056
2012	27	14	G13	B	I	26.3959	8.2759	20.9231	3.8911
2012	28	14	G13	B	N	20.3125	8.4967	14.5985	4.2735
2012	29	15	G13	C	I	16.9935	7.0866	11.4391	2.0833
2012	30	15	G13	C	N	16.4634	6.5693	10.6007	1.581
2012	31	16	G13	D	I	12.4444	4.5685	9.3985	1.6598
2012	32	16	G13	D	N	12.6374	4.4025	9.507	1.9455
2012	33	17	K7	A	I	23.9583	17.8082	23.7942	5.9072
2012	34	17	K7	A	N	27.6699	8.7248	13.1034	5.1587
2012	35	18	K7	B	I	27.7778	7.6923	19.3182	4.2254
2012	36	18	K7	B	N	26.7658	11.6751	17.316	4.1885
2013	1	1	G2	A	I	19.9027	7.1081	9.8712	1.4286
2013	2	1	G2	A	N	11.7796	6.7716	8.6223	2.7692
2013	3	2	G2	B	I	19.3443	8.0285	11.9632	2.7875
2013	4	2	G2	B	N	16.1372	7.5758	10.9051	1.9584
2013	5	3	G2	C	I	17.3202	5.4845	17.9993	4.5351
2013	6	3	G2	C	N	18.892	7.9115	12.7652	3.5521
2013	7	4	LL	A	I	21.4315	6.5824	13.1367	2.6235
2013	8	4	LL	A	N	27.2845	9.84	14.0543	2.9547
2013	9	5	LL	B	I	18.75	6.4473	10.4247	2.0936
2013	10	5	LL	B	N	17.8349	6.0295	10.0126	2.0019
2013	11	6	LL	C	I	19.0836	4.495	11.1111	1.6611
2013	12	6	LL	C	N	18.0576	4.5265	9.7963	1.3936
2013	13	7	CEB	A	I	45.6259	10.4022	30.2913	5.3853
2013	14	7	CEB	A	N	45.9726	9.2827	28.0992	4.4444
2013	15	8	CEB	B	I	12.5906	4.1451	10.1279	2.5385
2013	16	8	CEB	B	N	16.3823	6.4898	12.3267	4.0422
2013	17	9	CEB	C	I	28.1961	4.5962	27.616	4.3011
2013	18	9	CEB	C	N	18.1782	4.5783	16.6099	3.3122
2013	19	10	G48	B	I	34.4944	11.3779	19.0899	3.8911
2013	20	10	G48	B	N	25.7937	7.6471	14.2125	3.1343
2013	21	11	G48	C	I	24.6642	9.2382	12.4287	4.0453
2013	22	11	G48	C	N	18.6216	7.5326	9.7323	4.9546
2013	23	12	G48	D	I	22.4324	10.1626	12.7441	2.1155
2013	24	12	G48	D	N	15.7982	4.666	10.5306	1.6423
2013	25	13	G13	A	I	38.6811	11.2131	19.3955	3.2812
2013	26	13	G13	A	N	19.7492	5.0781	14.6814	2.7417
2013	27	14	G13	B	I	30.9464	6.454	21.5512	2.7766
2013	28	14	G13	B	N	24.5149	9.4044	18.7817	4
2013	29	15	G13	C	I	29.0279	10	12.5072	1.7787
2013	30	15	G13	C	N	22.506	7.7549	12.2689	1.9157
2013	31	16	G13	D	I	17.8978	7.3325	12.8662	2.2263
2013	32	16	G13	D	N	11.2566	3.3506	7.4601	1.6775
2013	33	17	K7	A	I	27.5073	6.9579	22.2744	4.3159
2013	34	17	K7	A	N	31.508	16.2437	17.974	5.0348
2013	35	18	K7	B	I	26.8452	7.1217	17.4802	2.7178
2013	36	18	K7	B	N	27.9923	8.4259	17.3065	3.0561
