plotid	site	rep	inv	depth	nhi	noi	toti	nhf	nof	totf	incubation_start	incubation_end	incubation_hrs	incubation_days
1	G2	A	I	b	1.469090454	1.434014416	2.90310487	0.276307156	3.757269412	4.033576568	7/26/12 at 2pm	8/16/12 at 3pm	505	21
2	G2	A	N	b	1.20231514	1.595829217	2.798144357	0.47247968	0.576439731	1.04891941	7/26/12 at 2pm	8/16/12 at 3pm	505	21
3	G2	B	I	b	1.202380121	2.508282503	3.710662623	1.95835961	2.199115984	4.157475594	7/26/12 at 2pm	8/16/12 at 3pm	505	21
4	G2	B	N	b	0.9157678	2.281607604	3.197375404	0.138453955	1.87660502	2.015058975	7/26/12 at 2pm	8/16/12 at 3pm	505	21
5	G2	C	I	b	1.816249659	2.643444716	4.459694375	0.821333901	2.691113543	3.512447444	7/26/12 at 2pm	8/16/12 at 3pm	505	21
6	G2	C	N	b	1.812829519	2.516851157	4.329680675	8.518656167	2.389527531	10.9081837	7/26/12 at 2pm	8/16/12 at 3pm	505	21
7	LL	A	I	b	2.036065276	1.202215958	3.238281235	0.904509429	2.574894061	3.479403491	8/1/12 at noon	8/22/12 at 2pm	506	21
8	LL	A	N	b	2.076895749	1.156129082	3.233024831	0.674975147	1.708585055	2.383560203	8/1/12 at noon	8/22/12 at 2pm	506	21
9	LL	B	I	b	2.133410175	BD	2.133410175	1.561566521	5.052866184	6.614432706	8/1/12 at noon	8/22/12 at 2pm	506	21
10	LL	B	N	b	6.490034302	1.861655206	8.351689508	7.550894403	4.434910073	11.98580448	8/1/12 at noon	8/22/12 at 2pm	506	21
11	LL	C	I	b	1.355817745	0.820131655	2.175949401	1.728911698	1.351512945	3.080424644	8/1/12 at noon	8/22/12 at 2pm	506	21
12	LL	C	N	b	1.800377181	1.369510617	3.169887798	1.118455598	1.509958775	2.628414373	8/1/12 at noon	8/22/12 at 2pm	506	21
13	CEB	A	I	b	1.523193241	3.060313065	4.583506306	0.569989201	4.733310858	5.303300059	8/1/12 at noon	8/22/12 at 2pm	506	21
14	CEB	A	N	b	0.870928093	3.426963067	4.297891161	0.364713921	8.562236022	8.926949944	8/1/12 at noon	8/22/12 at 2pm	506	21
15	CEB	B	I	b	1.869542151	1.12352605	2.993068201	0.726965156	2.489463887	3.216429043	8/1/12 at noon	8/22/12 at 2pm	506	21
16	CEB	B	N	b	2.560670998	1.769501476	4.330172474	0.379065077	5.690133253	6.06919833	8/1/12 at noon	8/22/12 at 2pm	506	21
17	CEB	C	I	b	1.514544831	1.524242835	3.038787666	0.569693671	4.208100765	4.777794436	8/1/12 at noon	8/22/12 at 2pm	506	21
18	CEB	C	N	b	1.071380226	1.685265514	2.75664574	0.726947643	1.583789828	2.31073747	8/1/12 at noon	8/22/12 at 2pm	506	21
19	G48	B	I	b	3.293294748	1.923611447	5.216906196	12.66128782	18.91657259	31.57786041	8/1/12 at noon	8/22/12 at 2pm	506	21
20	G48	B	N	b	3.048507714	0.739852817	3.788360531	2.704436323	5.977112102	8.681548425	8/1/12 at noon	8/22/12 at 2pm	506	21
21	G48	C	I	b	1.234847383	0.405405378	1.640252761	9.164890712	4.543916171	13.70880688	8/1/12 at noon	8/22/12 at 2pm	506	21
22	G48	C	N	b	2.297009341	1.613595755	3.910605096	2.324456979	2.561466799	4.885923778	8/1/12 at noon	8/22/12 at 2pm	506	21
23	G48	D	I	b	1.387865614	0.536445668	1.924311281	0.510270582	0.867002709	1.377273291	8/1/12 at noon	8/22/12 at 2pm	506	21
24	G48	D	N	b	4.566229255	3.512242249	8.078471504	6.706083908	5.184866976	11.89095088	8/1/12 at noon	8/22/12 at 2pm	506	21
25	G13	A	I	b	3.043261105	1.863856068	4.907117173	2.505724739	1.210467605	3.716192345	7/26/12 at 2pm	8/16/12 at 3pm	505	21
26	G13	A	N	b	2.708686163	1.664612057	4.37329822	2.10741167	1.547475125	3.654886794	7/26/12 at 2pm	8/16/12 at 3pm	505	21
27	G13	B	I	b	1.959325042	1.572991351	3.532316393	BD	3.801856851	3.801856851	7/26/12 at 2pm	8/16/12 at 3pm	505	21
28	G13	B	N	b	1.815579891	1.650129917	3.465709808	0.562105694	2.374388238	2.936493933	7/26/12 at 2pm	8/16/12 at 3pm	505	21
29	G13	C	I	b	1.720837805	1.455614344	3.176452149	BD	2.752915455	2.752915455	7/26/12 at 2pm	8/16/12 at 3pm	505	21
30	G13	C	N	b	1.175538362	0.920735301	2.096273663	BD	2.638836764	2.638836764	7/26/12 at 2pm	8/16/12 at 3pm	505	21
31	G13	D	I	b	0.959393105	1.802605072	2.761998177	BD	2.08878245	2.08878245	7/26/12 at 2pm	8/16/12 at 3pm	505	21
32	G13	D	N	b	0.891830459	1.741238656	2.633069116	BD	2.34374064	2.34374064	7/26/12 at 2pm	8/16/12 at 3pm	505	21
33	K7	A	I	b	2.881079602	4.640087984	7.521167586	BD	9.251974224	9.251974224	7/26/12 at 2pm	8/16/12 at 3pm	505	21
34	K7	A	N	b	3.110002679	2.04751845	5.15752113	2.722268097	1.851806296	4.574074393	7/26/12 at 2pm	8/16/12 at 3pm	505	21
35	K7	B	I	b	1.75419509	2.564441707	4.318636797	BD	4.120244599	4.120244599	7/26/12 at 2pm	8/16/12 at 3pm	505	21
36	K7	B	N	b	2.274576318	3.164363366	5.438939684	2.90858014	3.0816716	5.99025174	7/26/12 at 2pm	8/16/12 at 3pm	505	21
1	G2	A	I	t	2.063854996	2.515943286	4.579798282	1.587488816	2.602080687	4.189569503	7/26/12 at 2pm	8/16/12 at 3pm	505	21
2	G2	A	N	t	2.130512293	2.905003755	5.035516047	5.504546178	2.345637248	7.850183426	7/26/12 at 2pm	8/16/12 at 3pm	505	21
3	G2	B	I	t	2.332520164	4.643887108	6.976407273	6.361086758	3.857528392	10.21861515	7/26/12 at 2pm	8/16/12 at 3pm	505	21
4	G2	B	N	t	2.346514252	2.4317757	4.778289951	3.823182827	3.305614133	7.12879696	7/26/12 at 2pm	8/16/12 at 3pm	505	21
5	G2	C	I	t	1.702261312	2.409561993	4.111823305	1.062177031	3.824652314	4.886829344	7/26/12 at 2pm	8/16/12 at 3pm	505	21
6	G2	C	N	t	1.603202403	2.305335099	3.908537502	4.763475642	3.176158221	7.939633863	7/26/12 at 2pm	8/16/12 at 3pm	505	21
7	LL	A	I	t	1.292697162	3.027591745	4.320288907	2.460053479	3.806564354	6.266617832	8/1/12 at noon	8/22/12 at 2pm	506	21
8	LL	A	N	t	2.575376496	2.743905112	5.319281608	3.108513546	3.287601198	6.396114744	8/1/12 at noon	8/22/12 at 2pm	506	21
9	LL	B	I	t	1.026594839	4.661480756	5.688075595	0.489901695	7.384932599	7.874834294	8/1/12 at noon	8/22/12 at 2pm	506	21
