depth	batch	plothalfid	nhi	noi	toti	nhf	nof	totf	incubation_start	incubation_end	incubation_hrs	incubation_days
b	1	1	0.208766721	BD	0.208766721	3.354321207	1.035152116	4.389473323	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	2	0.293204638	BD	0.293204638	0.138810199	3.583275593	3.722085792	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	3	0.523532331	0.125800731	0.649333063	3.233104208	2.937200792	6.170305	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	4	0.360317543	0.113991194	0.474308737	5.369571928	1.973828952	7.343400881	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	5	0.429387202	0.367975223	0.797362425	2.981667752	2.820034373	5.801702125	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	6	0.744186929	0.559356367	1.303543296	4.410556286	2.649877093	7.060433378	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	7	0.568100935	0.301251778	0.869352713	3.048652286	2.39730986	5.445962147	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	8	0.29546724	BD	0.29546724	0.462839126	6.122379235	6.585218361	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	9	0.210973634	BD	0.210973634	1.880455289	2.143838786	4.024294075	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	10	0.49799796	0.374323369	0.87232133	0.058715205	4.345042452	4.403757657	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	11	0.401757853	0.328889996	0.730647849	0.749301298	1.408658294	2.157959592	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	12	0.361065597	0.34614256	0.707208158	0.418478243	1.390542238	1.809020481	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	13	0.821801105	0.621707806	1.443508911	0.057491495	12.68938398	12.74687547	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	14	1.44045703	0.55174083	1.99219786	0.466565024	9.775969501	10.24253452	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	15	0.741017256	0.50164483	1.242662086	0.682460882	5.386603482	6.069064364	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	16	0.667556843	0.312575034	0.980131877	0.2238217	4.918364668	5.142186368	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	17	0.866663973	0.267625512	1.134289485	3.510189877	11.5810311	15.09122098	7/26/13 at 5pm	8/12/13 at 12pm	403	17
b	1	18	1.07467134	0.213495281	1.28816662	0.101519035	1.33919007	1.440709105	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	1	BD	BD	BD	4.089229798	3.763786909	7.853016707	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	2	0.108130945	BD	0.108130945	5.496452152	6.005443612	11.50189576	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	3	0.152392128	BD	0.152392128	55.09190281	3.953028828	59.04493164	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	4	0.35212045	BD	0.35212045	1.64803549	3.390732247	5.038767737	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	5	0.319090238	BD	0.319090238	5.534638157	2.973386018	8.508024175	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	6	0.340453736	BD	0.340453736	1.505165544	7.426065697	8.931231241	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	7	0.192701412	BD	0.192701412	3.14920984	2.596788778	5.745998618	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	8	0.240401097	BD	0.240401097	0.714507626	5.483853032	6.198360658	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	9	0.41899584	BD	0.41899584	5.972114671	7.477574897	13.44968957	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	10	0.273411868	0.228129871	0.50154174	0.466476285	12.14556035	12.61203663	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	11	0.137923402	0.103897466	0.241820868	1.68498304	3.91770392	5.60268696	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	12	0.223320929	0.228267472	0.451588402	0.675963064	6.297331092	6.973294156	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	13	0.565520134	0.661793992	1.227314126	0.479465552	7.88248657	8.361952123	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	14	0.419239842	0.72558889	1.144828732	0.337106867	9.901806779	10.23891365	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	15	0.542843462	0.357372086	0.900215547	1.644983055	6.673704749	8.318687804	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	16	0.603191625	0.323106796	0.926298421	1.494852913	10.00425935	11.49911227	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	17	0.441486473	0.410717614	0.852204087	1.718862736	9.080392079	10.79925481	7/26/13 at 5pm	8/12/13 at 12pm	403	17
t	1	18	0.867773756	0.231095987	1.098869742	0.147690441	19.40447805	19.55216849	7/26/13 at 5pm	8/12/13 at 12pm	403	17
