"plotid"	"site"	"rep"	"genus"	"species"	"dbh"	"notes"	"myc"	"plotname"
"1"	"G2"	"A"	"Pinus"	"taeda"	47.1	NA	"E"	"G2_A"
"2"	"G2"	"B"	"Liquidambar"	"styraciflua"	20.7	NA	"A"	"G2_B"
"2"	"G2"	"B"	"Liquidambar"	"styraciflua"	31	NA	"A"	"G2_B"
"2"	"G2"	"B"	"Pinus"	"taeda"	52.7	NA	"E"	"G2_B"
"2"	"G2"	"B"	"Pinus"	"taeda"	56.4	NA	"E"	"G2_B"
"3"	"G2"	"C"	"Acer"	"rubrum"	15.2	NA	"A"	"G2_C"
"3"	"G2"	"C"	"Acer"	"rubrum"	16	NA	"A"	"G2_C"
"3"	"G2"	"C"	"Liquidambar"	"styraciflua"	16.5	NA	"A"	"G2_C"
"3"	"G2"	"C"	"Carya"	"sp"	17.5	NA	"E"	"G2_C"
"3"	"G2"	"C"	"Acer"	"rubrum"	19.4	NA	"A"	"G2_C"
"3"	"G2"	"C"	"Pinus"	"taeda"	35.7	NA	"E"	"G2_C"
"3"	"G2"	"C"	"Pinus"	"taeda"	40.5	NA	"E"	"G2_C"
"4"	"LL"	"A"	"Liquidambar"	"styraciflua"	16.4	NA	"A"	"LL_A"
"4"	"LL"	"A"	"Liriodendron"	"tulipifera"	21.3	NA	"A"	"LL_A"
"4"	"LL"	"A"	"Liquidambar"	"styraciflua"	26.5	NA	"A"	"LL_A"
"4"	"LL"	"A"	"Liquidambar"	"styraciflua"	27.4	NA	"A"	"LL_A"
"4"	"LL"	"A"	"Liquidambar"	"styraciflua"	32	NA	"A"	"LL_A"
"5"	"LL"	"B"	"Acer"	"rubrum"	14	NA	"A"	"LL_B"
"5"	"LL"	"B"	"Liriodendron"	"tulipifera"	25.1	NA	"A"	"LL_B"
"5"	"LL"	"B"	"Liriodendron"	"tulipifera"	31.7	NA	"A"	"LL_B"
"6"	"LL"	"C"	"Liquidambar"	"styraciflua"	15	NA	"A"	"LL_C"
"6"	"LL"	"C"	"Liquidambar"	"styraciflua"	15.8	NA	"A"	"LL_C"
"6"	"LL"	"C"	"Liquidambar"	"styraciflua"	17.7	NA	"A"	"LL_C"
"6"	"LL"	"C"	"Liquidambar"	"styraciflua"	18	NA	"A"	"LL_C"
"6"	"LL"	"C"	"Acer"	"rubrum"	20.2	NA	"A"	"LL_C"
"7"	"CEB"	"A"	"Fraxinus"	"sp"	34.2	NA	"A"	"CEB_A"
"7"	"CEB"	"A"	"Fraxinus"	"sp"	34.8	NA	"A"	"CEB_A"
"8"	"CEB"	"B"	"Liquidambar"	"styraciflua"	12.6	NA	"A"	"CEB_B"
"8"	"CEB"	"B"	"Carya"	"sp"	17.6	NA	"E"	"CEB_B"
"8"	"CEB"	"B"	"Carya"	"sp"	17.6	NA	"E"	"CEB_B"
"8"	"CEB"	"B"	"Carya"	"sp"	17.8	NA	"E"	"CEB_B"
