"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"depth"	"variable"	"value"
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"nhi"	11.6806
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"nhi"	6.2877
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"nhi"	6.247
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"nhi"	6.1885
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"nhi"	8.3859
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"nhi"	3.598
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"nhi"	2.874
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"nhi"	3.2656
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"nhi"	3.3534
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"nhi"	2.7869
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"nhi"	2.5031
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"nhi"	2.8633
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"nhi"	4.5662
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"nhi"	2.8057
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"nhi"	2.6991
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"nhi"	1.794
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"nhi"	2.9705
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"nhi"	3.6079
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"nhi"	0.6724
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"nhi"	3.1919
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"nhi"	4.67
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"nhi"	3.2446
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"nhi"	5.3734
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"nhi"	1.6805
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"F"	"nhi"	0.7786
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"nhi"	5.1574
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"nhi"	2.3112
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"nhi"	2.8268
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"nhi"	2.1548
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"nhi"	2.3711
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"nhi"	3.6938
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"nhi"	5.1975
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"nhi"	4.526
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"nhi"	3.8264
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"nhi"	2.3325
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"nhi"	6.1918
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"nhi"	1.3689
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"F"	"nhi"	0.9436
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"nhi"	1.2927
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"nhi"	1.4583
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"nhi"	1.5232
"2011"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"F"	"nhi"	0.7857
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"nhi"	6.7716
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"nhi"	0.7451
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"nhi"	1.7601
"2011"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"F"	"nhi"	1.4316
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"nhi"	5.4732
"2011"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"F"	"nhi"	0.6223
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"nhi"	2.0194
"2011"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"F"	"nhi"	0.8969
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"nhi"	4.8382
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"nhi"	2.1213
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"T"	"nhi"	2.0145
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"nhi"	2.5971
"2011"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"F"	"nhi"	2.352
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"T"	"nhi"	2.8383
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"nhi"	2.5754
"2011"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"F"	"nhi"	1.6587
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"T"	"nhi"	2.1979
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"T"	"nhi"	1.0266
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"nhi"	1.6032
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"B"	"nhi"	0.8709
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"nhi"	1.3791
"2011"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"F"	"nhi"	0.4019
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"B"	"nhi"	2.8811
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"F"	"nhi"	4.9216
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"nhi"	2.3465
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"F"	"nhi"	1.3479
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"nhi"	2.1305
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"nhi"	3.196
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"nhi"	2.6207
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"nhi"	2.1898
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"nhi"	2.0639
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"nhi"	2.3024
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"nhi"	3.0433
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"F"	"nhi"	0.5754
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"nhi"	3.11
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"nhi"	2.4949
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"F"	"nhi"	1.1099
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"F"	"nhi"	1.0597
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"nhi"	2.5607
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"nhi"	3.1204
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"nhi"	3.7437
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"nhi"	2.6789
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"nhi"	1.2348
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"nhi"	2.297
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"F"	"nhi"	0.986
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"nhi"	3.9632
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"F"	"nhi"	1.9394
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"nhi"	3.2933
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"nhi"	6.2573
