"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"mv"	15.65
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"mv"	0
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"mv"	9.64
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"mv"	0
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"mv"	1.76
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"mv"	0
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"mv"	2.2
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"mv"	0
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"mv"	8.36
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"mv"	0
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"mv"	1.2
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"mv"	0
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"mv"	6.65
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"mv"	0
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"mv"	11.63
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"mv"	0
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"mv"	11.5
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"mv"	0
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"mv"	4.95
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"mv"	0
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"mv"	32.94
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"mv"	0
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"mv"	58.57
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"mv"	0
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"mv"	0.06
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"mv"	0
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"mv"	8.68
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"mv"	0
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"mv"	29.13
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"mv"	3.06
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"mv"	9.6
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"mv"	0
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"mv"	9.19
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"mv"	0
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"mv"	0.4
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"mv"	0
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"mv"	43.54
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"mv"	0
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"mv"	3.07
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"mv"	0
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"mv"	4.87
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"mv"	0
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"mv"	3.12
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"mv"	0
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"mv"	14.2
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"mv"	0
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"mv"	1.11
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"mv"	0
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"mv"	13.13
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"mv"	0
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"mv"	14.97
