"year"	"plothalfid"	"plotid"	"site"	"rep"	"inv"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"plotname"	"plothalfname"	"yrplotname"	"yrplothalfname"	"total"
"2011"	"1"	"1"	"G2"	"A"	"I"	2.45	1.73	117.55	27.89	12.1	"G2_A"	"G2_A_I"	"2011_G2_A"	"2011_G2_A_I"	4.18
"2011"	"2"	"1"	"G2"	"A"	"N"	0	51.84	158.18	23.72	10.7	"G2_A"	"G2_A_N"	"2011_G2_A"	"2011_G2_A_N"	51.84
"2011"	"3"	"2"	"G2"	"B"	"I"	2.01	0.63	171.26	2.5	11.8	"G2_B"	"G2_B_I"	"2011_G2_B"	"2011_G2_B_I"	2.64
"2011"	"4"	"2"	"G2"	"B"	"N"	0	4.88	206.48	17.98	12	"G2_B"	"G2_B_N"	"2011_G2_B"	"2011_G2_B_N"	4.88
"2011"	"5"	"3"	"G2"	"C"	"I"	3.14	1.83	53.46	5.24	11	"G2_C"	"G2_C_I"	"2011_G2_C"	"2011_G2_C_I"	4.97
"2011"	"6"	"3"	"G2"	"C"	"N"	0	0.36	135.09	13.15	11	"G2_C"	"G2_C_N"	"2011_G2_C"	"2011_G2_C_N"	0.36
"2011"	"7"	"4"	"LL"	"A"	"I"	3.19	0.16	129.39	1.93	11.1	"LL_A"	"LL_A_I"	"2011_LL_A"	"2011_LL_A_I"	3.35
"2011"	"8"	"4"	"LL"	"A"	"N"	0	0	109.19	1.35	11.4	"LL_A"	"LL_A_N"	"2011_LL_A"	"2011_LL_A_N"	0
"2011"	"9"	"5"	"LL"	"B"	"I"	12.79	0	116.5	4.32	11.9	"LL_B"	"LL_B_I"	"2011_LL_B"	"2011_LL_B_I"	12.79
"2011"	"10"	"5"	"LL"	"B"	"N"	0	0	231.25	2.94	11.9	"LL_B"	"LL_B_N"	"2011_LL_B"	"2011_LL_B_N"	0
"2011"	"11"	"6"	"LL"	"C"	"I"	2.9	0.23	107.55	7.05	11	"LL_C"	"LL_C_I"	"2011_LL_C"	"2011_LL_C_I"	3.13
"2011"	"12"	"6"	"LL"	"C"	"N"	0	0.63	188.8	2.36	11.1	"LL_C"	"LL_C_N"	"2011_LL_C"	"2011_LL_C_N"	0.63
"2011"	"13"	"7"	"CEB"	"A"	"I"	16.74	2.97	34.95	40.3	11.2	"CEB_A"	"CEB_A_I"	"2011_CEB_A"	"2011_CEB_A_I"	19.71
"2011"	"14"	"7"	"CEB"	"A"	"N"	0	5.59	26.15	34.73	11.7	"CEB_A"	"CEB_A_N"	"2011_CEB_A"	"2011_CEB_A_N"	5.59
"2011"	"15"	"8"	"CEB"	"B"	"I"	14.13	0.15	85.99	88.09	12.3	"CEB_B"	"CEB_B_I"	"2011_CEB_B"	"2011_CEB_B_I"	14.28
"2011"	"16"	"8"	"CEB"	"B"	"N"	0	1.09	221.51	56.72	12.3	"CEB_B"	"CEB_B_N"	"2011_CEB_B"	"2011_CEB_B_N"	1.09
"2011"	"17"	"9"	"CEB"	"C"	"I"	14.45	0	72.55	3.57	12.7	"CEB_C"	"CEB_C_I"	"2011_CEB_C"	"2011_CEB_C_I"	14.45
"2011"	"18"	"9"	"CEB"	"C"	"N"	0	0.68	149.94	5.85	11.7	"CEB_C"	"CEB_C_N"	"2011_CEB_C"	"2011_CEB_C_N"	0.68
"2011"	"19"	"10"	"G48"	"B"	"I"	4.04	0.54	88.69	15.77	11.7	"G48_B"	"G48_B_I"	"2011_G48_B"	"2011_G48_B_I"	4.58
"2011"	"20"	"10"	"G48"	"B"	"N"	0	1.84	111.83	10.68	10.7	"G48_B"	"G48_B_N"	"2011_G48_B"	"2011_G48_B_N"	1.84
"2011"	"21"	"11"	"G48"	"C"	"I"	182.5	96.2	95.4	53.83	10.4	"G48_C"	"G48_C_I"	"2011_G48_C"	"2011_G48_C_I"	278.7
"2011"	"22"	"11"	"G48"	"C"	"N"	0	1.49	113.83	16.1	9.9	"G48_C"	"G48_C_N"	"2011_G48_C"	"2011_G48_C_N"	1.49
"2011"	"23"	"12"	"G48"	"D"	"I"	2.84	7.01	145.16	53.81	10.3	"G48_D"	"G48_D_I"	"2011_G48_D"	"2011_G48_D_I"	9.85
"2011"	"24"	"12"	"G48"	"D"	"N"	0	18.73	175.09	90.78	9.6	"G48_D"	"G48_D_N"	"2011_G48_D"	"2011_G48_D_N"	18.73
"2011"	"25"	"13"	"G13"	"A"	"I"	2.03	2.18	152.04	15.93	11.5	"G13_A"	"G13_A_I"	"2011_G13_A"	"2011_G13_A_I"	4.21
"2011"	"26"	"13"	"G13"	"A"	"N"	0	3.01	271.55	7.98	12.3	"G13_A"	"G13_A_N"	"2011_G13_A"	"2011_G13_A_N"	3.01
"2011"	"27"	"14"	"G13"	"B"	"I"	7.6	0.64	103.28	13.43	10.5	"G13_B"	"G13_B_I"	"2011_G13_B"	"2011_G13_B_I"	8.24
"2011"	"28"	"14"	"G13"	"B"	"N"	0	0.79	117.23	13.9	11	"G13_B"	"G13_B_N"	"2011_G13_B"	"2011_G13_B_N"	0.79
"2011"	"29"	"15"	"G13"	"C"	"I"	9.45	3.28	141.77	82.77	11.6	"G13_C"	"G13_C_I"	"2011_G13_C"	"2011_G13_C_I"	12.73
"2011"	"30"	"15"	"G13"	"C"	"N"	0	28.04	187.32	87.7	11.3	"G13_C"	"G13_C_N"	"2011_G13_C"	"2011_G13_C_N"	28.04
"2011"	"31"	"16"	"G13"	"D"	"I"	5.31	0.53	141.78	33.21	10.9	"G13_D"	"G13_D_I"	"2011_G13_D"	"2011_G13_D_I"	5.84
"2011"	"32"	"16"	"G13"	"D"	"N"	0	0.08	312.19	9.9	11.1	"G13_D"	"G13_D_N"	"2011_G13_D"	"2011_G13_D_N"	0.08
"2011"	"33"	"17"	"K7"	"A"	"I"	12.57	0.42	91.51	5.01	11.6	"K7_A"	"K7_A_I"	"2011_K7_A"	"2011_K7_A_I"	12.99
"2011"	"34"	"17"	"K7"	"A"	"N"	0	0.74	92.97	4.16	11.3	"K7_A"	"K7_A_N"	"2011_K7_A"	"2011_K7_A_N"	0.74
"2011"	"35"	"18"	"K7"	"B"	"I"	1.15	6.24	118.47	6.98	12	"K7_B"	"K7_B_I"	"2011_K7_B"	"2011_K7_B_I"	7.39
"2011"	"36"	"18"	"K7"	"B"	"N"	0	0.14	286.22	4.34	12.8	"K7_B"	"K7_B_N"	"2011_K7_B"	"2011_K7_B_N"	0.14
"2012"	"1"	"1"	"G2"	"A"	"I"	43.54	8.46	111.26	42.63	NA	"G2_A"	"G2_A_I"	"2012_G2_A"	"2012_G2_A_I"	52
"2012"	"2"	"1"	"G2"	"A"	"N"	0	4.51	108.86	55.91	NA	"G2_A"	"G2_A_N"	"2012_G2_A"	"2012_G2_A_N"	4.51
"2012"	"3"	"2"	"G2"	"B"	"I"	3.07	0.79	166.34	4.09	NA	"G2_B"	"G2_B_I"	"2012_G2_B"	"2012_G2_B_I"	3.86
"2012"	"4"	"2"	"G2"	"B"	"N"	0	18.85	245.38	3.06	NA	"G2_B"	"G2_B_N"	"2012_G2_B"	"2012_G2_B_N"	18.85
"2012"	"5"	"3"	"G2"	"C"	"I"	4.87	0.3	58.22	3.46	NA	"G2_C"	"G2_C_I"	"2012_G2_C"	"2012_G2_C_I"	5.17
"2012"	"6"	"3"	"G2"	"C"	"N"	0	1.23	275.08	3.63	NA	"G2_C"	"G2_C_N"	"2012_G2_C"	"2012_G2_C_N"	1.23
"2012"	"7"	"4"	"LL"	"A"	"I"	3.12	0.03	100.4	2.59	NA	"LL_A"	"LL_A_I"	"2012_LL_A"	"2012_LL_A_I"	3.15
"2012"	"8"	"4"	"LL"	"A"	"N"	0	0.81	113.72	1.79	NA	"LL_A"	"LL_A_N"	"2012_LL_A"	"2012_LL_A_N"	0.81
"2012"	"9"	"5"	"LL"	"B"	"I"	14.2	0.03	207.76	5.27	NA	"LL_B"	"LL_B_I"	"2012_LL_B"	"2012_LL_B_I"	14.23
"2012"	"10"	"5"	"LL"	"B"	"N"	0	0.08	283.74	6.04	NA	"LL_B"	"LL_B_N"	"2012_LL_B"	"2012_LL_B_N"	0.08
"2012"	"11"	"6"	"LL"	"C"	"I"	1.11	0.13	140.47	1.91	NA	"LL_C"	"LL_C_I"	"2012_LL_C"	"2012_LL_C_I"	1.24
"2012"	"12"	"6"	"LL"	"C"	"N"	0	0.08	173.31	1.93	NA	"LL_C"	"LL_C_N"	"2012_LL_C"	"2012_LL_C_N"	0.08
"2012"	"13"	"7"	"CEB"	"A"	"I"	13.13	16.93	85.17	3.35	NA	"CEB_A"	"CEB_A_I"	"2012_CEB_A"	"2012_CEB_A_I"	30.06
"2012"	"14"	"7"	"CEB"	"A"	"N"	0	19.05	26.92	5.96	NA	"CEB_A"	"CEB_A_N"	"2012_CEB_A"	"2012_CEB_A_N"	19.05
"2012"	"15"	"8"	"CEB"	"B"	"I"	14.97	4.4	66.79	69.5	NA	"CEB_B"	"CEB_B_I"	"2012_CEB_B"	"2012_CEB_B_I"	19.37
"2012"	"16"	"8"	"CEB"	"B"	"N"	0.01	0.28	171.84	6.79	NA	"CEB_B"	"CEB_B_N"	"2012_CEB_B"	"2012_CEB_B_N"	0.29
"2012"	"17"	"9"	"CEB"	"C"	"I"	27.8	0.48	65.22	3.71	NA	"CEB_C"	"CEB_C_I"	"2012_CEB_C"	"2012_CEB_C_I"	28.28
"2012"	"18"	"9"	"CEB"	"C"	"N"	0	13.41	90.6	2.01	NA	"CEB_C"	"CEB_C_N"	"2012_CEB_C"	"2012_CEB_C_N"	13.41
"2012"	"19"	"10"	"G48"	"B"	"I"	7.73	5.44	84.26	2.64	NA	"G48_B"	"G48_B_I"	"2012_G48_B"	"2012_G48_B_I"	13.17
"2012"	"20"	"10"	"G48"	"B"	"N"	0	10.27	101.57	26.01	NA	"G48_B"	"G48_B_N"	"2012_G48_B"	"2012_G48_B_N"	10.27
"2012"	"21"	"11"	"G48"	"C"	"I"	8.17	42.62	76.75	72.79	NA	"G48_C"	"G48_C_I"	"2012_G48_C"	"2012_G48_C_I"	50.79
"2012"	"22"	"11"	"G48"	"C"	"N"	0	15.76	105.42	14.82	NA	"G48_C"	"G48_C_N"	"2012_G48_C"	"2012_G48_C_N"	15.76
