"","model","Df","AIC","BIC","logLik","deviance","Chisq","Chi.Df","pval","source"
"noi_T...1","1",3,98.270839982738,102.668047691137,-46.135419991369,92.270839982738,NA,NA,NA,"noi_T"
"noi_T.object","full",14,111.212904100657,131.733206739853,-41.6064520503286,83.2129041006571,9.05793588208088,11,0.616544489541519,"noi_T"
"noi_B...1","1",3,80.6799156735495,85.0771233819487,-37.3399578367748,74.6799156735495,NA,NA,NA,"noi_B"
"noi_B.object","full",14,93.8035947300464,114.323897369243,-32.9017973650232,65.8035947300464,8.87632094350315,11,0.633307402174073,"noi_B"
"ammonifd_T...1","1",3,-0.334959109883023,4.06224859851616,3.16747955494151,-6.33495910988302,NA,NA,NA,"ammonifd_T"
"ammonifd_T.object","full",14,2.81286418357887,23.333166822775,12.5935679082106,-25.1871358164211,18.8521767065381,11,0.0637991453344516,"ammonifd_T"
"ammonifd_B...1","1",3,-6.91989936164757,-2.52269165324839,6.45994968082379,-12.9198993616476,NA,NA,NA,"ammonifd_B"
"ammonifd_B.object","full",14,-15.9854748457045,4.53482779349169,21.9927374228522,-43.9854748457045,31.0655754840569,11,0.00107543686658642,"ammonifd_B"
"nitrifd_T...1","1",3,36.1209976146262,40.5182053230254,-15.0604988073131,30.1209976146262,NA,NA,NA,"nitrifd_T"
"nitrifd_T.object","full",14,30.4008951306892,50.9211977698854,-1.20044756534461,2.40089513068922,27.720102483937,11,0.0035725541371916,"nitrifd_T"
"nitrifd_B...1","1",3,-17.4831011883842,-13.085893479985,11.7415505941921,-23.4831011883842,NA,NA,NA,"nitrifd_B"
"nitrifd_B.object","full",14,-7.95326822893235,12.5670344102638,17.9766341144662,-35.9532682289324,12.4701670405482,11,0.329358812627561,"nitrifd_B"
"minzd_T...1","1",3,37.9014227323038,42.298630440703,-15.9507113661519,31.9014227323038,NA,NA,NA,"minzd_T"
"minzd_T.object","full",13,32.9338896886566,51.988456425053,-3.46694484432829,6.93388968865657,24.9675330436472,10,0.00540738660072037,"minzd_T"
"minzd_B...1","1",3,13.8460558490827,18.2432635574819,-3.92302792454137,7.84605584908273,NA,NA,NA,"minzd_B"
"minzd_B.object","full",13,4.81160891856868,23.8661756549651,10.5941955407157,-21.1883910814313,29.0344469305141,10,0.00123014444610455,"minzd_B"
