"","row.names.mod.step.anova.table.","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","elim.num","Pr..F."
"noi","noi",0.220833813958022,0.220833813958022,1,21.0000010544498,0.333342475075966,"1",0.569836393580913
"soilmoi","soilmoi",0.204835155195516,0.204835155195516,1,22.0000009423567,0.318855089400243,"2",0.578009276785815
"nhi","nhi",0.988196059518578,0.988196059518578,1,23.0000009039015,1.58521400098017,"3",0.220640277503729
"ph","ph",0.768771515073545,0.768771515073545,1,24.000001403497,1.20386922820664,"4",0.283436851435135
"nTrees","nTrees",1.04773374761161,1.04773374761161,1,24.0944501827667,1.67623268139719,"5",0.207696221603233
"nat_g.m2","nat_g.m2",1.79206422057678,1.79206422057678,1,25.0794631540798,2.80435521385387,"6",0.106435744773471
"litter_g.m2","litter_g.m2",0.765408029019137,0.765408029019137,1,25.2294930155235,1.11476241449292,"7",0.301055088122103
"som","som",1.16374919043005,1.16374919043005,1,28.0000008605194,1.67172526003792,"8",0.206594677199443
"BA_total","BA_total",4.47121395933243,4.47121395933243,1,29.0000008396162,6.27749194658772,"kept",0.0180941363763654
"percpar12.logt","percpar12.logt",9.25339245767933,9.25339245767933,1,29.0000008396161,12.9915716760668,"kept",0.00115733166045873
