"yVar"	"Estimate"	"Standard.Error"	"DF"	"t.value"	"Lower.CI"	"Upper.CI"	"p.value"	"terms"
"1"	"nhi_T"	-0.2046	0.4897	62	-0.42	-1.1835	0.7744	0.6776	"inv N - I"
"2"	"nhi_B"	0.2218	0.2893	62	0.77	-0.3565	0.8001	0.4461	"inv N - I"
"3"	"noi_T"	-0.3094	0.3258	61	-0.95	-0.9608	0.3421	0.3461	"inv N - I"
"4"	"noi_B"	0.01	0.2072	61	0.05	-0.4043	0.4244	0.9615	"inv N - I"
"5"	"ammonifd_T"	-0.1023	0.0396	62	-2.59	-0.1815	-0.0232	0.0121	"inv N - I"
"6"	"ammonifd_B"	-0.0764	0.0396	57	-1.93	-0.1558	0.0029	0.0588	"inv N - I"
"7"	"nitrifd_T"	0.0647	0.0697	61	0.93	-0.0746	0.2041	0.3567	"inv N - I"
"8"	"nitrifd_B"	-0.0309	0.0421	59	-0.73	-0.1152	0.0534	0.4668	"inv N - I"
"9"	"minzd_T"	-0.0376	0.0669	61	-0.56	-0.1714	0.0962	0.5761	"inv N - I"
"10"	"minzd_B"	-0.0926	0.0551	61	-1.68	-0.2029	0.0177	0.0982	"inv N - I"
"11"	"soilmoi_T"	-2.3548	2.055	61	-1.15	-6.464	1.7545	0.2563	"inv N - I"
"12"	"soilmoi_B"	-2.0197	1.4691	61	-1.37	-4.9574	0.9179	0.1742	"inv N - I"
"13"	"som_T"	-0.1993	0.6913	62	-0.29	-1.5812	1.1826	0.7741	"inv N - I"
"14"	"som_B"	0.0803	0.3349	61	0.24	-0.5894	0.7499	0.8114	"inv N - I"
"15"	"ph_T"	0.0019	0.1268	61	0.01	-0.2516	0.2554	0.9882	"inv N - I"
"16"	"ph_B"	-0.0531	0.0853	61	-0.62	-0.2238	0.1175	0.536	"inv N - I"
"17"	"nat_g.m2"	-1.2167	10.9146	62	-0.11	-23.0346	20.6013	0.9116	"inv N - I"
"18"	"litter_g.m2"	295.0133	84.8929	60	3.48	125.1997	464.827	0.001	"inv N - I"
"19"	"percpar"	-2.7096	6.3661	50	-0.43	-15.4962	10.077	0.6722	"inv N - I"
