"","terms","Estimate","Std..Error","df","t.value","Pr...t..","source"
"ammonifd_B.(Intercept)","(Intercept)",0.057236894538152,0.022009270075584,26.0000377934915,2.60058122516511,0.0151489785928556,"ammonifd_B"
"ammonifd_B.nat_g.m2","nat_g.m2",0.12042657825219,0.0258825024571489,26.0000377934915,4.65281819065095,8.40453092079141e-05,"ammonifd_B"
"ammonifd_B.noi_B","noi_B",-0.112454706032245,0.0228343072202538,26.0000377934904,-4.92481356879084,4.09799157581325e-05,"ammonifd_B"
"ammonifd_B.BA_total","BA_total",-0.0946445689277914,0.0260945958257471,26.0000377934901,-3.6269796842152,0.00122684934633011,"ammonifd_B"
"ammonifd_B.mv.logt","mv.logt",0.0540595421591719,0.0231252111185332,26.0000377934909,2.33768858939614,0.0273726843649362,"ammonifd_B"
"ammonifd_B.noi_B:mv.logt","noi_B:mv.logt",-0.0927404955580635,0.0291785198367649,26.0000377934908,-3.1783824565772,0.00380085034873234,"ammonifd_B"
"nitrifd_T.(Intercept)","(Intercept)",-0.0647290862194941,0.100737842502906,0.69993192815744,-0.642549856253144,0.669721089826127,"nitrifd_T"
"nitrifd_T.noi_T","noi_T",0.226879011599752,0.0701732079047251,18.7375400878159,3.23312868791445,0.00443569348520256,"nitrifd_T"
"nitrifd_T.soilmoi_T","soilmoi_T",-0.257741558346403,0.0664062822839441,24.7799606884759,-3.88128275641657,0.000679887257810874,"nitrifd_T"
"nitrifd_T.mv.logt","mv.logt",-0.0659004750367986,0.0582115155234862,27.0609661882769,-1.132086571603,0.267530265117267,"nitrifd_T"
"minzd_T.(Intercept)","(Intercept)",0.0375659600833331,0.255038758835006,0.939156777247396,0.147295102340252,0.908064996333707,"minzd_T"
"minzd_T.noi_T","noi_T",0.23950933091918,0.0765605723355565,27.9485776148713,3.1283639034128,0.00408430815631555,"minzd_T"
"minzd_T.soilmoi_T","soilmoi_T",-0.281780617795865,0.0707865068239263,27.7457999445633,-3.98071087893577,0.000448174507301058,"minzd_T"
"minzd_T.mv.logt","mv.logt",-0.0108742586832029,0.0596491040820839,27.0116770351622,-0.182303805740967,0.856705611986807,"minzd_T"
"minzd_B.(Intercept)","(Intercept)",0.089590489230653,0.078630311207203,0.867893310701191,1.13938871479941,0.479939163297322,"minzd_B"
"minzd_B.nat_g.m2","nat_g.m2",0.127489615076178,0.0369441368158529,26.2084281620535,3.4508754585781,0.00190647063133431,"minzd_B"
"minzd_B.noi_B","noi_B",-0.15223463834854,0.039987681063399,26.2943961407675,-3.80703842533848,0.000760738062912436,"minzd_B"
"minzd_B.mv.logt","mv.logt",0.042624507311708,0.0372992930163537,26.4387704038264,1.14276984534317,0.263377411453942,"minzd_B"
"minzd_B.noi_B:mv.logt","noi_B:mv.logt",-0.110609617756125,0.0462164207575913,26.0040713792156,-2.39329692656818,0.0242070500232234,"minzd_B"
